Verification	Agent	Type	Rent	Location	Bedroom	Bathroom	Area
VERIFIED	SUPERAGENT	Villa	"300,000 AED/year"	"Maple 1, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai"	4	4	"2,172 sqft"
VERIFIED	SUPERAGENT	Apartment	"120,000 AED/year"	"Binghatti Corner, Jumeirah Village Circle, Dubai"	2	2	983 sqft
VERIFIED	SUPERAGENT	Villa	"375,000 AED/year"	"Legacy, Jumeirah Park, Dubai"	3	4	"3,527 sqft"
VERIFIED	SUPERAGENT	Villa	"480,000 AED/year"	"Regional, Jumeirah Park, Dubai"	4	5	"4,335 sqft"
VERIFIED	SUPERAGENT	Villa	"110,000 AED/year"	"Parkside 2, EMAAR South, Dubai South (Dubai World Central), Dubai"	3	4	"1,483 sqft"
VERIFIED	SUPERAGENT	Apartment	"175,000 AED/year"	"Park Ridge Tower C, Park Ridge, Dubai Hills Estate, Dubai"	2	3	989 sqft
VERIFIED	SUPERAGENT	Villa	"590,000 AED/year"	"Mirador La Coleccion 1, Mirador La Coleccion, Arabian Ranches, Dubai"	5	5	"4,559 sqft"
VERIFIED	SUPERAGENT	Apartment	"340,000 AED/year"	"Central Park Building 1, Central Park at City Walk, City Walk, Dubai"	2	3	"1,828 sqft"
VERIFIED	SUPERAGENT	Villa	"500,000 AED/year"	"Harmony 3, Harmony, Tilal Al Ghaf, Dubai"	4	5	"4,920 sqft"
VERIFIED	SUPERAGENT	Apartment	"450,000 AED/year"	"Port de La Mer, La Mer, Jumeirah, Dubai"	3	4	"2,181 sqft"
VERIFIED	SUPERAGENT	Apartment	"75,000 AED/year"	"Al Murad Tower, Al Barsha 1, Al Barsha, Dubai"	1	1	778 sqft
VERIFIED	SUPERAGENT	Villa	"400,000 AED/year"	"Murooj Al Furjan, Al Furjan, Dubai"	4	6	"5,584 sqft"
VERIFIED	SUPERAGENT	Townhouse	"255,000 AED/year"	"Murooj Al Furjan, Al Furjan, Dubai"	3	4	"2,566 sqft"
VERIFIED	SUPERAGENT	Villa	"465,000 AED/year"	"Legacy, Jumeirah Park, Dubai"	4	5	"7,965 sqft"
VERIFIED	SUPERAGENT	Apartment	"210,000 AED/year"	"La Cote Building 5, Jumeirah 1, Jumeirah, Dubai"	2	2	"1,382 sqft"
