Verification,Agent,Type,Price,Location,Bedroom,Bathroom,Area
VERIFIED,SUPERAGENT,Townhouse,"3,100,000 AED","MAG Eye, District 7, Mohammed Bin Rashid City, Dubai",2,3,"1,410 sqft"
VERIFIED,SUPERAGENT,Villa,"5,300,000 AED","Maple 1, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai",4,4,"2,462 sqft"
VERIFIED,SUPERAGENT,Apartment,"4,200,000 AED","Limestone House, DIFC, Dubai",2,3,"1,728 sqft"
VERIFIED,SUPERAGENT,Villa,"8,900,000 AED","Legacy, Jumeirah Park, Dubai",3,4,"9,896 sqft"
VERIFIED,SUPERAGENT,Villa,"22,000,000 AED","District One Phase III, District One, Mohammed Bin Rashid City, Dubai",5,6,"7,911 sqft"
VERIFIED,SUPERAGENT,Villa,"2,250,000 AED","Greenview, EMAAR South, Dubai South (Dubai World Central), Dubai",3,4,"1,518 sqft"
VERIFIED,SUPERAGENT,Villa,"2,300,000 AED","Greenviews 2, EMAAR South, Dubai South (Dubai World Central), Dubai",3,4,"1,705 sqft"
VERIFIED,SUPERAGENT,Villa,"8,250,000 AED","Harmony 1, Harmony, Tilal Al Ghaf, Dubai",4,6,"4,650 sqft"
VERIFIED,SUPERAGENT,Apartment,"5,350,000 AED","Address The Bay, EMAAR Beachfront, Dubai Harbour, Dubai",2,2,"1,345 sqft"
VERIFIED,SUPERAGENT,Penthouse,"22,500,000 AED","sensoria at Five Luxe, Jumeirah Beach Residence, Dubai",4,5,"4,045 sqft"
VERIFIED,SUPERAGENT,Penthouse,"26,500,000 AED","Serenia Living Tower 3, Serenia Living, Palm Jumeirah, Dubai",3,4,"5,985 sqft"
VERIFIED,SUPERAGENT,Apartment,"17,995,000 AED","Apartment Building 6, Bluewaters Residences, Bluewaters, Dubai",3,4,"2,101 sqft"
VERIFIED,SUPERAGENT,Villa,"16,750,000 AED","Chorisia 1 Villas, Al Barari, Dubai",4,5,"7,204 sqft"
VERIFIED,SUPERAGENT,Apartment,"2,550,000 AED","Limestone House, DIFC, Dubai",1,2,"1,168 sqft"
VERIFIED,SUPERAGENT,Villa,"9,950,000 AED","Harmony 3, Harmony, Tilal Al Ghaf, Dubai",5,6,"4,477 sqft"
VERIFIED,SUPERAGENT,Apartment,"8,500,000 AED","Port de La Mer, La Mer, Jumeirah, Dubai",3,4,"2,181 sqft"
VERIFIED,SUPERAGENT,Penthouse,"12,990,000 AED","Al Fattan Marine Tower, Al Fattan Marine Towers, Jumeirah Beach Residence, Dubai",3,4,"4,080 sqft"
VERIFIED,SUPERAGENT,Villa,"55,000,000 AED","Signature Villas Frond B, Signature Villas, Palm Jumeirah, Dubai",6,6,"7,372 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,650,000 AED","Sobha Creek Vistas Grande, Sobha Hartland, Mohammed Bin Rashid City, Dubai",1,2,775 sqft
VERIFIED,SUPERAGENT,Apartment,"1,200,000 AED","The Crest Tower B, Sobha Hartland, Mohammed Bin Rashid City, Dubai",1,1,519 sqft
VERIFIED,SUPERAGENT,Apartment,"980,000 AED","Binghatti Onyx, Jumeirah Village Circle, Dubai",1,1,628 sqft
VERIFIED,SUPERAGENT,Villa,"8,000,000 AED","Green Community West, Green Community, Dubai Investment Park (DIP), Dubai",4,5,"4,329 sqft"
VERIFIED,SUPERAGENT,Villa,"9,350,000 AED","Green Community West, Green Community, Dubai Investment Park (DIP), Dubai",5,6,"6,210 sqft"
VERIFIED,SUPERAGENT,Villa,"7,800,000 AED","Green Community West, Green Community, Dubai Investment Park (DIP), Dubai",5,6,"6,210 sqft"
VERIFIED,SUPERAGENT,Villa,"7,500,000 AED","Green Community West, Green Community, Dubai Investment Park (DIP), Dubai",4,4,"4,329 sqft"
VERIFIED,SUPERAGENT,Villa,"3,300,000 AED","Ruba, Arabian Ranches 3, Dubai",3,4,"1,559 sqft"
