Verification	Agent	Type	Rent	Location	Bedroom	Bathroom	Area
VERIFIED	SUPERAGENT	Office Space	"1,350,000 AED/year"	"The Opus, Business Bay, Dubai"	N/A	N/A	"2,427 sqft"
VERIFIED	SUPERAGENT	Office Space	"199,998 AED/year"	"Fortune Executive, JLT Cluster T, Jumeirah Lake Towers, Dubai"	N/A	N/A	"1,269 sqft"
VERIFIED	SUPERAGENT	Office Space	"399,999 AED/year"	"Almas Tower, Lake Almas East, Jumeirah Lake Towers, Dubai"	N/A	1	"1,042 sqft"
VERIFIED	SUPERAGENT	Office Space	"135,000 AED/year"	"Silver Tower, Business Bay, Dubai"	N/A	1	"1,016 sqft"
VERIFIED	SUPERAGENT	Office Space	"79,000 AED/year"	"Tamani Art Tower, Business Bay, Dubai"	N/A	2	439 sqft
VERIFIED	SUPERAGENT	Office Space	"79,000 AED/year"	"Tamani Art Tower, Business Bay, Dubai"	N/A	2	439 sqft
VERIFIED	SUPERAGENT	Office Space	"79,000 AED/year"	"Tamani Art Tower, Business Bay, Dubai"	N/A	2	439 sqft
VERIFIED	SUPERAGENT	Office Space	"79,000 AED/year"	"Tamani Art Tower, Business Bay, Dubai"	N/A	2	439 sqft
VERIFIED	SUPERAGENT	Office Space	"180,000 AED/year"	"Sobha Ivory Tower 2, Sobha Ivory Towers, Business Bay, Dubai"	N/A	2	"1,203 sqft"
N/A	SUPERAGENT	Shop	"11,990 AED/year"	"Fire Station Road, Muwaileh, Sharjah"	N/A	1	190 sqft
VERIFIED	SUPERAGENT	Office Space	"300,000 AED/year"	"Detroit House, Motor City, Dubai"	N/A	N/A	"1,205 sqft"
VERIFIED	SUPERAGENT	Office Space	"399,999 AED/year"	"Opal Tower, Business Bay, Dubai"	N/A	N/A	"2,202 sqft"
VERIFIED	N/A	Retail	"230,000 AED/year"	"AZIZI Riviera 34, Meydan One, Meydan, Dubai"	N/A	1	765 sqft
VERIFIED	N/A	Office Space	"1,750,000 AED/year"	"Jumeirah Business Centre 4 (JBC 4), JLT Cluster N, Jumeirah Lake Towers, Dubai"	N/A	N/A	"4,573 sqft"
VERIFIED	SUPERAGENT	Office Space	"90,000 AED/year"	"Mazaya Business Avenue BB2, Mazaya Business Avenue, Jumeirah Lake Towers, Dubai"	N/A	N/A	"1,260 sqft"
VERIFIED	SUPERAGENT	Office Space	"170,000 AED/year"	"HDS Tower, JLT Cluster F, Jumeirah Lake Towers, Dubai"	N/A	N/A	"1,373 sqft"
VERIFIED	SUPERAGENT	Office Space	"70,000 AED/year"	"Tamani Art Tower, Business Bay, Dubai"	N/A	N/A	314 sqft
VERIFIED	SUPERAGENT	Office Space	"80,000 AED/year"	"Tamani Art Tower, Business Bay, Dubai"	N/A	1	439 sqft
VERIFIED	SUPERAGENT	Office Space	"125,000 AED/year"	"Tiffany Tower, JLT Cluster W, Jumeirah Lake Towers, Dubai"	N/A	1	895 sqft
VERIFIED	SUPERAGENT	Office Space	"600,000 AED/year"	"HDS Business Centre, JLT Cluster M, Jumeirah Lake Towers, Dubai"	N/A	N/A	"1,763 sqft"
VERIFIED	SUPERAGENT	Office Space	"70,000 AED/year"	"Tamani Art Tower, Business Bay, Dubai"	N/A	N/A	282 sqft
VERIFIED	SUPERAGENT	Office Space	"130,000 AED/year"	"The Regal Tower, Business Bay, Dubai"	N/A	1	989 sqft
VERIFIED	SUPERAGENT	Office Space	"169,999 AED/year"	"HDS Tower, JLT Cluster F, Jumeirah Lake Towers, Dubai"	N/A	1	"1,373 sqft"
VERIFIED	SUPERAGENT	Office Space	"240,000 AED/year"	"Indigo Icon, JLT Cluster F, Jumeirah Lake Towers, Dubai"	N/A	N/A	"1,611 sqft"
VERIFIED	SUPERAGENT	Office Space	"160,000 AED/year"	"Churchill Executive Tower, Churchill Towers, Business Bay, Dubai"	N/A	N/A	933 sqft
N/A	SUPERAGENT	Warehouse	"2,576,000 AED/year"	"Industrial Area 18, Sharjah Industrial Area, Sharjah"	N/A	N/A	"55,998 sqft"
VERIFIED	SUPERAGENT	Office Space	"249,000 AED/year"	"The Regal Tower, Business Bay, Dubai"	N/A	1	"1,309 sqft"
VERIFIED	SUPERAGENT	Office Space	"170,000 AED/year"	"One Lake Plaza, JLT Cluster T, Jumeirah Lake Towers, Dubai"	N/A	2	"1,570 sqft"
VERIFIED	SUPERAGENT	Office Space	"165,000 AED/year"	"Tiffany Tower, JLT Cluster W, Jumeirah Lake Towers, Dubai"	N/A	1	"1,273 sqft"
VERIFIED	SUPERAGENT	Office Space	"140,000 AED/year"	"Churchill Executive Tower, Churchill Towers, Business Bay, Dubai"	N/A	N/A	864 sqft
